cb,0.0005,0.0005,0.93503555926884,0.064964440731156
cf,0.0005,1,0.0005,0.0005
chanc,0.0005,0.0005,0.925019991533,0.074980008467002
charg,0.071525253646146,0.11306950513895,0.2979246684966,0.5174805727183
chat,0.0078877623789599,0.0005,0.97156795583676,0.020544281784284
check,0.094392819778249,0.24248138839077,0.19190689941167,0.47121889241931
chequ,0.0005,1,0.0005,0.0005
choic,0.0005,0.95221027479092,0.04778972520908,0.0005
choos,0.0005,0.0005,0.10251958898325,0.89748041101675
chuck,1,0.0005,0.0005,0.0005
cl,0.8012467913458,0.0005,0.0005,0.1987532086542
class,0.81952081969416,0.0005,0.029554598588643,0.1509245817172
clear,0.076023820638154,0.90135742344112,0.022618755920731,0.0005
click,0.0076041521084792,0.14425076549785,0.59727418587567,0.250870896518
clr,0.0005,0.9317697228145,0.0005,0.068230277185501
cm,0.909774078478,0.0005,0.090225921521998,0.0005
code,0.022248563602485,0.06330828773087,0.52425934632841,0.39018380233824
colleg,0.67097233069023,0.0005,0.015356077011381,0.31367159229838
com,0.077679227252082,0.24559582349533,0.24960177795636,0.42712317129623
combo,0.0005,0.0005,1,0.0005
come,0.95962492132652,0.0005,0.040375078673481,0.0005
complet,0.035575860006418,0.0005,0.25403038807594,0.71039375191764
confidenti,0.0005,0.0005,0.0005,1
confirm,0.1149812966279,0.13632469981445,0.0005,0.74869400355764
contact,0.023051941540285,0.32797149826441,0.068584587675535,0.58039197251977
continu,0.0005,0.0005,0.0005,1
cool,0.87121406159161,0.0005,0.099694351102649,0.029091587305743
cpn,0.0005,0.0005,1,0.0005
credit,0.01187644997265,0.70405079994116,0.14487369032666,0.13919905975953
cricket,0.0005,0.0005,1,0.0005
cube,0.1232475735634,0.8767524264366,0.0005,0.0005
current,0.0027596613169337,0.96848934087131,0.0005,0.028750997811753
custom,0.020436915950588,0.30691990066961,0.15809121212593,0.51455197125388
d,0.044437532158823,0.026343124532902,0.88581648366597,0.04340285964231
da,0.0005,0.0005,0.0005,1
dai,0.017616059064456,0.0092826844570204,0.88983324029656,0.083268016181967
data,0.026892021356259,0.0005,0.53339778871627,0.43971018992747
date,0.10064066928321,0.2386441870378,0.019961872608766,0.64075327107022
deal,0.0005,0.0005,0.54346269511671,0.45653730488329
dear,0.031284347635352,0.11657330037623,0.08775907180143,0.76438328018699
debit,0.0005,0.87666476465217,0.030227792703055,0.093107442644771
